752 9628
17 140 -0.0769231
17 147 -0.0769231
17 153 -0.0769231
17 154 -0.0769231
17 317 -0.0769231
17 318 -0.0769231
17 319 -0.0769231
17 320 -0.0769231
17 321 -0.0769231
17 327 -0.0769231
17 329 -0.2
17 334 -0.0769231
17 450 -0.2
17 455 -0.2
17 662 -0.0769231
18 14 -0.333333
18 16 -0.2
18 17 -0.2
18 18 4
18 20 -0.2
18 24 -1
18 33 -0.333333
18 63 -0.333333
18 139 -0.2
18 155 -0.2
18 329 -0.2
18 346 -0.2
18 450 -0.2
18 455 -0.2
18 728 -0.2
19 19 5
19 21 -1
19 24 -0.166667
19 25 -0.125
19 27 -0.166667
19 32 -0.166667
19 73 -0.166667
19 78 -0.166667
19 85 -0.166667
19 110 -0.166667
19 445 -0.125
19 449 -0.125
19 450 -0.125
19 454 -0.125
19 456 -0.125
19 462 -0.125
19 489 -0.166667
19 507 -0.166667
19 509 -0.25
19 512 -0.166667
19 514 -0.25
19 518 -0.25
19 519 -0.25
19 571 -0.166667
19 696 -0.125
20 12 -0.125
20 16 -0.125
20 18 -0.2
20 20 4.875
20 21 -0.5
20 23 -0.333333
20 24 -0.333333
20 25 -1
20 28 -0.333333
20 33 -0.125
20 44 -0.125
20 48 -0.125
20 57 -0.5
20 61 -0.125
20 64 -0.125
20 139 -0.2
20 155 -0.2
20 346 -0.2
20 728 -0.2
21 15 -1
21 19 -1
21 20 -0.5
21 21 4
21 30 -1
21 57 -0.5
22 13 -0.5
22 17 -0.5
22 22 4
22 23 -1
22 25 -0.5
22 65 -0.5
22 149 -1
23 13 -1
23 20 -0.333333
23 22 -1
23 23 4
23 24 -0.333333
23 28 -0.333333
23 125 -0.2
23 126 -0.2
23 128 -0.2
23 310 -0.2
23 722 -0.2
24 18 -1
24 19 -0.166667
24 20 -0.333333
24 23 -0.333333
24 24 4
24 26 -1
24 27 -0.166667
24 28 -0.333333
24 73 -0.166667
24 78 -0.166667
24 85 -0.166667
24 110 -0.166667
25 19 -0.125
25 20 -1
25 22 -0.5
25 25 4
25 27 -1
25 65 -0.5
25 445 -0.125
25 449 -0.125
25 450 -0.125
25 454 -0.125
25 456 -0.125
25 462 -0.125
25 696 -0.125
26 24 -1
26 26 2
26 31 -0.5
26 100 -0.5
27 19 -0.166667
27 24 -0.166667
27 25 -1
27 27 3.83333
27 63 -0.5
27 73 -0.166667
27 78 -0.166667
27 85 -0.1
27 86 -0.1
27 87 -0.1
27 97 -0.1
27 98 -0.1
27 109 -0.1
27 110 -0.166667
27 119 -0.1
27 327 -0.5
27 458 -0.1
27 462 -0.1
27 487 -0.1
28 12 -0.125
28 16 -0.125
28 20 -0.333333
28 23 -0.333333
28 24 -0.333333
28 28 3.875
28 33 -0.125
28 35 -1
28 39 -0.5
28 44 -0.125
28 48 -0.125
28 61 -0.125
28 64 -0.125
28 70 -0.5
29 14 -0.333333
29 17 -1
29 29 4
29 32 -0.142857
29 34 -0.142857
29 47 -0.25
29 55 -0.25
29 63 -0.25
29 73 -0.25
29 82 -0.142857
29 83 -0.142857
29 108 -0.333333
29 112 -0.333333
29 563 -0.142857
29 565 -0.142857
29 566 -0.142857
30 21 -1
30 30 4
30 31 -0.5
30 53 -0.5
30 57 -0.5
30 158 -0.5
30 508 -0.2
30 513 -0.2
30 519 -0.2
30 668 -0.2
30 669 -0.2
31 26 -0.5
31 30 -0.5
31 31 4
31 100 -0.5
31 137 -0.25
31 147 -0.25
31 156 -0.25
31 158 -0.5
31 534 -0.5
31 672 -0.25
31 692 -0.5
32 19 -0.166667
32 29 -0.142857
32 32 2
32 34 -0.142857
32 82 -0.142857
32 83 -0.142857
32 489 -0.166667
32 507 -0.166667
32 512 -0.166667
32 563 -0.142857
32 565 -0.142857
32 566 -0.142857
32 571 -0.166667
33 12 -0.125
33 14 -0.333333
33 16 -0.125
33 18 -0.333333
33 20 -0.125
33 28 -0.125
33 33 3
33 44 -0.125
33 48 -0.125
33 61 -0.125
33 63 -0.333333
33 64 -0.125
33 672 -1
34 15 -0.333333
34 29 -0.142857
34 32 -0.142857
34 34 3
34 82 -0.142857
34 83 -0.142857
34 117 -0.333333
34 142 -0.333333
34 464 -0.5
34 563 -0.142857
34 565 -0.142857
34 566 -0.142857
35 16 -1
35 28 -1
35 35 3
35 116 -0.333333
35 145 -0.333333
35 541 -0.333333
36 12 -0.333333
36 13 -0.333333
36 14 -0.333333
36 15 -0.0769231
36 36 2
36 118 -0.0769231
36 151 -0.0769231
36 158 -0.0769231
36 316 -0.0769231
36 332 -0.0769231
36 336 -0.0769231
36 337 -0.0769231
36 338 -0.0769231
36 339 -0.0769231
36 340 -0.0769231
36 458 -0.0769231
36 569 -0.0769231
37 37 3
37 38 -0.166667
37 39 -0.166667
37 40 -0.166667
37 41 -0.166667
37 42 -0.166667
37 43 -0.166667
37 61 -1
37 70 -1
38 37 -0.166667
38 38 2.83333
38 39 -1
38 40 -0.166667
38 41 -0.166667
38 42 -0.166667
38 43 -0.166667
38 70 -1
39 28 -0.5
39 37 -0.166667
39 38 -1
39 39 3.66667
39 40 -1
39 41 -0.166667
39 42 -0.166667
39 43 -0.166667
39 70 -0.5
40 37 -0.166667
40 38 -0.166667
40 39 -1
40 40 3.66667
40 41 -1
40 42 -0.166667
40 43 -0.166667
40 74 -1
41 37 -0.166667
41 38 -0.166667
41 39 -0.166667
41 40 -1
41 41 3.66667
41 42 -1
41 43 -0.166667
41 75 -1
42 37 -0.166667
42 38 -0.166667
42 39 -0.166667
42 40 -0.166667
42 41 -1
42 42 2.83333
42 43 -0.166667
42 67 -0.5
42 74 -0.5
43 37 -0.166667
43 38 -0.166667
43 39 -0.166667
43 40 -0.166667
43 41 -0.166667
43 42 -0.166667
43 43 2
43 66 -0.5
43 76 -0.5
44 12 -0.125
44 16 -0.125
44 20 -0.125
44 28 -0.125
44 33 -0.125
44 44 4
44 45 -1
44 48 -0.125
44 54 -1
44 58 -0.5
44 61 -0.125
44 64 -0.125
44 404 -0.5
45 12 -0.111111
45 13 -0.111111
45 14 -0.111111
45 15 -0.111111
45 44 -1
45 45 4.88889
45 50 -0.5
45 51 -0.111111
45 60 -0.5
45 61 -0.111111
45 66 -1
45 113 -0.111111
45 118 -0.111111
45 402 -1
46 46 3
46 47 -1
46 55 -1
46 88 -0.333333
46 478 -0.333333
46 479 -0.333333
47 29 -0.25
47 46 -1
47 47 3.75
47 49 -0.166667
47 50 -0.166667
47 54 -0.166667
47 55 -0.166667
47 56 -0.166667
47 63 -0.25
47 64 -0.5
47 72 -0.166667
47 73 -0.25
47 504 -0.5
48 12 -0.125
48 16 -0.125
48 20 -0.125
48 28 -0.125
48 33 -0.125
48 44 -0.125
48 48 4.66667
48 56 -1
48 59 -0.5
48 60 -0.5
48 61 -0.125
48 62 -0.333333
48 64 -0.125
48 65 -0.5
48 68 -0.333333
48 419 -0.5
49 47 -0.166667
49 49 3.66667
49 50 -0.5
49 54 -0.5
49 55 -0.166667
49 56 -0.166667
49 62 -0.5
49 65 -0.5
49 67 -0.5
49 68 -0.5
49 72 -0.166667
50 12 -0.111111
50 13 -0.111111
50 14 -0.111111
50 15 -0.111111
50 45 -0.5
50 47 -0.166667
50 49 -0.5
50 50 4.55556
50 51 -0.111111
50 54 -0.5
50 55 -0.166667
50 56 -0.166667
50 60 -0.5
50 61 -0.111111
50 66 -1
50 72 -0.166667
50 113 -0.111111
50 118 -0.111111
51 12 -0.111111
51 13 -0.111111
51 14 -0.111111
51 15 -0.111111
51 45 -0.111111
51 50 -0.111111
51 51 2
51 52 -0.333333
51 53 -0.333333
51 61 -0.111111
51 76 -0.333333
51 113 -0.111111
51 118 -0.111111
52 51 -0.333333
52 52 1.66667
52 53 -1
52 76 -0.333333
53 30 -0.5
53 51 -0.333333
53 52 -1
53 53 2.66667
53 57 -0.5
53 76 -0.333333
54 44 -1
54 47 -0.166667
54 49 -0.5
54 50 -0.5
54 54 2.66667
54 55 -0.166667
54 56 -0.166667
54 72 -0.166667
55 29 -0.25
55 46 -1
55 47 -0.166667
55 49 -0.166667
55 50 -0.166667
55 54 -0.166667
55 55 2.75
55 56 -0.166667
55 63 -0.25
55 72 -0.166667
55 73 -0.25
56 47 -0.166667
56 48 -1
56 49 -0.166667
56 50 -0.166667
56 54 -0.166667
56 55 -0.166667
56 56 3
56 59 -1
56 72 -0.166667
57 20 -0.5
57 21 -0.5
57 30 -0.5
57 53 -0.5
57 57 3
57 58 -1
58 44 -0.5
58 57 -1
58 58 3
58 69 -1
58 404 -0.5
59 48 -0.5
59 56 -1
59 59 3
59 75 -1
59 419 -0.5
60 45 -0.5
60 48 -0.5
60 50 -0.5
60 60 3
60 63 -0.5
60 65 -0.5
60 100 -0.5
61 12 -0.125
61 13 -0.111111
61 14 -0.111111
61 15 -0.111111
61 16 -0.125
61 20 -0.125
61 28 -0.125
61 33 -0.125
61 37 -1
61 44 -0.125
61 45 -0.111111
61 48 -0.125
61 50 -0.111111
61 51 -0.111111
61 61 2.88889
61 64 -0.125
61 113 -0.111111
61 118 -0.111111
62 48 -0.333333
62 49 -0.5
62 62 1.66667
62 65 -0.5
62 68 -0.333333
63 14 -0.333333
63 18 -0.333333
63 27 -0.5
63 29 -0.25
63 33 -0.333333
63 47 -0.25
63 55 -0.25
63 60 -0.5
63 63 4
63 73 -0.25
63 100 -0.5
63 327 -0.5
64 12 -0.125
64 16 -0.125
64 20 -0.125
64 28 -0.125
64 33 -0.125
64 44 -0.125
64 47 -0.5
64 48 -0.125
64 61 -0.125
64 64 4.5
64 74 -0.5
64 406 -0.5
64 504 -0.5
64 604 -1
65 22 -0.5
65 25 -0.5
65 48 -0.5
65 49 -0.5
65 60 -0.5
65 62 -0.5
65 65 4.33333
65 68 -0.333333
65 69 -1
66 43 -0.5
66 45 -1
66 50 -1
66 66 4
66 72 -1
66 76 -0.5
67 42 -0.5
67 49 -0.5
67 67 3.5
67 68 -0.5
67 70 -0.5
67 71 -1
67 74 -0.5
68 48 -0.333333
68 49 -0.5
68 62 -0.333333
68 65 -0.333333
68 67 -0.5
68 68 4
68 71 -1
68 419 -1
69 58 -1
69 65 -1
69 69 4
69 71 -1
69 144 -1
70 28 -0.5
70 37 -1
70 38 -1
70 39 -0.5
70 67 -0.5
70 70 4
70 74 -0.5
71 67 -1
71 68 -1
71 69 -1
71 71 4
71 74 -1
72 47 -0.166667
72 49 -0.166667
72 50 -0.166667
72 54 -0.166667
72 55 -0.166667
72 56 -0.166667
72 66 -1
72 72 3
72 454 -1
73 19 -0.166667
73 24 -0.166667
73 27 -0.166667
73 29 -0.25
73 47 -0.25
73 55 -0.25
73 63 -0.25
73 73 2
73 78 -0.166667
73 85 -0.166667
73 110 -0.166667
74 40 -1
74 42 -0.5
74 64 -0.5
74 67 -0.5
74 70 -0.5
74 71 -1
74 74 4.5
74 406 -0.5
75 41 -1
75 59 -1
75 75 2
76 43 -0.5
76 51 -0.333333
76 52 -0.333333
76 53 -0.333333
76 66 -0.5
76 76 2
77 77 4
77 82 -0.5
77 83 -0.5
77 84 -0.5
77 85 -1
77 88 -0.5
77 502 -0.5
77 746 -0.5
78 19 -0.166667
78 24 -0.166667
78 27 -0.166667
78 73 -0.166667
78 78 5
78 85 -0.166667
78 86 -1
78 90 -0.5
78 96 -0.5
78 97 -1
78 108 -1
78 110 -0.166667
79 79 4.75
79 81 -0.25
79 90 -1
79 93 -1
79 97 -1
79 98 -0.25
79 111 -1
80 80 4
80 87 -1
80 89 -0.5
80 90 -0.5
80 96 -0.5
80 98 -0.5
80 100 -0.5
80 625 -0.5
81 79 -0.25
81 81 4.75
81 87 -0.5
81 89 -1
81 93 -0.5
81 97 -0.25
81 98 -1
81 99 -0.5
81 104 -0.5
82 29 -0.142857
82 32 -0.142857
82 34 -0.142857
82 77 -0.5
82 82 3.85714
82 83 -0.333333
82 86 -0.333333
82 88 -0.5
82 111 -0.333333
82 563 -0.142857
82 565 -0.142857
82 566 -0.142857
82 570 -1
83 29 -0.142857
83 32 -0.142857
83 34 -0.142857
83 77 -0.5
83 82 -0.333333
83 83 2.85714
83 84 -0.5
83 86 -0.333333
83 111 -0.333333
83 563 -0.142857
83 565 -0.142857
83 566 -0.142857
84 77 -0.5
84 83 -0.5
84 84 2
84 109 -1
85 19 -0.166667
85 24 -0.166667
85 27 -0.1
85 73 -0.166667
85 77 -1
85 78 -0.166667
85 85 2.83333
85 86 -0.1
85 87 -0.1
85 97 -0.1
85 98 -0.1
85 109 -0.1
85 110 -0.166667
85 119 -0.1
85 458 -0.1
85 462 -0.1
85 487 -0.1
86 27 -0.1
86 78 -1
86 82 -0.333333
86 83 -0.333333
86 85 -0.1
86 86 3
86 87 -0.1
86 97 -0.1
86 98 -0.1
86 109 -0.1
86 111 -0.333333
86 119 -0.1
86 458 -0.1
86 462 -0.1
86 487 -0.1
87 27 -0.1
87 80 -1
87 81 -0.5
87 85 -0.1
87 86 -0.1
87 87 3
87 93 -0.5
87 97 -0.1
87 98 -0.1
87 109 -0.1
87 119 -0.1
87 458 -0.1
87 462 -0.1
87 487 -0.1
88 46 -0.333333
88 77 -0.5
88 82 -0.5
88 88 3
88 478 -0.333333
88 479 -0.333333
88 605 -1
89 80 -0.5
89 81 -1
89 89 3
89 90 -0.25
89 94 -0.25
89 96 -0.5
89 103 -0.25
90 78 -0.5
90 79 -1
90 80 -0.5
90 89 -0.25
90 90 4
90 94 -0.25
90 96 -0.5
90 98 -0.5
90 103 -0.25
91 91 3
91 92 -0.5
91 103 -0.5
91 104 -0.25
91 640 -0.25
91 673 -0.25
91 674 -0.25
92 7 -0.5
92 91 -0.5
92 92 3
92 95 -0.5
92 103 -0.5
92 697 -0.5
93 79 -1
93 81 -0.5
93 87 -0.5
93 93 3
93 94 -1
94 89 -0.25
94 90 -0.25
94 93 -1
94 94 5
94 95 -0.333333
94 103 -0.25
94 729 -0.333333
95 92 -0.5
95 94 -0.333333
95 95 4
95 99 -1
95 103 -0.5
95 729 -0.333333
96 78 -0.5
96 80 -0.5
96 89 -0.5
96 90 -0.5
96 96 3
97 27 -0.1
97 78 -1
97 79 -1
97 81 -0.25
97 85 -0.1
97 86 -0.1
97 87 -0.1
97 97 3.65
97 98 -0.25
97 109 -0.1
97 119 -0.1
97 458 -0.1
97 462 -0.1
97 487 -0.1
98 27 -0.1
98 79 -0.25
98 80 -0.5
98 81 -1
98 85 -0.1
98 86 -0.1
98 87 -0.1
98 90 -0.5
98 97 -0.25
98 98 3.65
98 109 -0.1
98 119 -0.1
98 458 -0.1
98 462 -0.1
98 487 -0.1
99 81 -0.5
99 95 -1
99 99 3
99 104 -0.5
100 26 -0.5
100 31 -0.5
100 60 -0.5
100 63 -0.5
100 80 -0.5
100 100 3
100 625 -0.5
101 101 2
101 102 -0.5
101 107 -0.5
102 101 -0.5
102 102 2
102 107 -0.5
103 89 -0.25
103 90 -0.25
103 91 -0.5
103 92 -0.5
103 94 -0.25
103 95 -0.5
103 103 3
104 81 -0.5
104 91 -0.25
104 99 -0.5
104 104 3
104 105 -1
104 640 -0.25
104 673 -0.25
104 674 -0.25
105 104 -1
105 105 2
105 106 -1
106 105 -1
106 106 2
106 107 -1
107 101 -0.5
107 102 -0.5
107 106 -1
107 107 2
108 14 -0.333333
108 29 -0.333333
108 78 -1
108 108 3
108 112 -0.333333
108 146 -0.333333
108 159 -0.333333
108 566 -0.333333
109 27 -0.1
109 84 -1
109 85 -0.1
109 86 -0.1
109 87 -0.1
109 97 -0.1
109 98 -0.1
109 109 3
109 110 -1
109 119 -0.1
109 458 -0.1
109 462 -0.1
109 487 -0.1
110 19 -0.166667
110 24 -0.166667
110 27 -0.166667
110 73 -0.166667
110 78 -0.166667
110 85 -0.166667
110 109 -1
110 110 4
110 111 -1
110 112 -1
111 79 -1
111 82 -0.333333
111 83 -0.333333
111 86 -0.333333
111 110 -1
111 111 3
112 14 -0.333333
112 29 -0.333333
112 108 -0.333333
112 110 -1
112 112 3
112 127 -0.25
112 159 -0.25
112 563 -0.25
112 571 -0.25
113 6 -0.0666667
113 12 -0.111111
113 13 -0.111111
113 14 -0.111111
113 15 -0.111111
113 45 -0.111111
113 50 -0.111111
113 51 -0.111111
113 61 -0.111111
113 113 2
113 118 -0.111111
113 443 -0.0666667
113 447 -0.0666667
113 450 -0.0666667
113 730 -0.0666667
113 731 -0.0666667
113 732 -0.0666667
113 733 -0.0666667
113 734 -0.0666667
113 735 -0.0666667
113 736 -0.0666667
113 737 -0.0666667
113 738 -0.0666667
113 739 -0.0666667
113 740 -0.0666667
114 11 -0.1
114 114 3.9
114 115 -0.5
114 116 -0.5
114 118 -0.5
114 119 -0.5
114 133 -0.1
114 445 -0.1
114 449 -0.1
114 452 -0.1
114 454 -0.1
114 463 -0.1
114 467 -0.1
114 638 -0.1
114 671 -1
115 114 -0.5
115 115 2
115 116 -0.5
115 657 -0.0588235
115 658 -0.0588235
115 659 -0.0588235
115 660 -0.0588235
115 661 -0.0588235
115 662 -0.0588235
115 663 -0.0588235
115 664 -0.0588235
115 665 -0.0588235
115 666 -0.0588235
115 667 -0.0588235
115 668 -0.0588235
115 669 -0.0588235
115 670 -0.0588235
115 671 -0.0588235
115 672 -0.0588235
115 676 -0.0588235
116 11 -0.1
116 35 -0.333333
116 114 -0.5
116 115 -0.5
116 116 3.9
116 133 -0.1
116 145 -0.333333
116 445 -0.1
116 449 -0.1
116 452 -0.1
116 454 -0.1
116 463 -0.1
116 467 -0.1
116 541 -0.333333
116 638 -0.1
116 670 -1
117 15 -0.333333
117 34 -0.333333
117 117 3
117 118 -1
117 119 -1
117 142 -0.333333
118 12 -0.111111
118 13 -0.111111
118 14 -0.111111
118 15 -0.0769231
118 36 -0.0769231
118 45 -0.111111
118 50 -0.111111
118 51 -0.111111
118 61 -0.111111
118 113 -0.111111
118 114 -0.5
118 117 -1
118 118 3.88889
118 119 -0.5
118 151 -0.0769231
118 158 -0.0769231
118 316 -0.0769231
118 332 -0.0769231
118 336 -0.0769231
118 337 -0.0769231
118 338 -0.0769231
118 339 -0.0769231
118 340 -0.0769231
118 458 -0.0769231
118 569 -0.0769231
119 27 -0.1
119 85 -0.1
119 86 -0.1
119 87 -0.1
119 97 -0.1
119 98 -0.1
119 109 -0.1
119 114 -0.5
119 117 -1
119 118 -0.5
119 119 3
119 458 -0.1
119 462 -0.1
119 487 -0.1
120 120 3
120 121 -0.333333
120 122 -0.5
120 132 -1
120 306 -0.5
120 307 -0.333333
120 318 -0.333333
121 120 -0.333333
121 121 2.66667
121 123 -0.166667
121 134 -0.5
121 147 -0.5
121 152 -0.166667
121 306 -0.166667
121 307 -0.166667
121 318 -0.333333
121 335 -0.166667
121 718 -0.166667
122 120 -0.5
122 122 3
122 123 -0.25
122 129 -0.5
122 135 -0.5
122 306 -0.5
122 307 -0.25
122 308 -0.25
122 719 -0.25
123 121 -0.166667
123 122 -0.25
123 123 2.83333
123 131 -0.333333
123 136 -0.333333
123 143 -0.333333
123 152 -0.166667
123 306 -0.166667
123 307 -0.25
123 308 -0.25
123 335 -0.166667
123 718 -0.166667
123 719 -0.25
124 124 3
124 126 -0.2
124 128 -0.2
124 129 -1
124 146 -0.25
124 152 -0.25
124 308 -0.2
124 309 -0.2
124 310 -0.25
124 321 -0.25
124 720 -0.2
125 23 -0.2
125 125 3
125 126 -0.2
125 128 -0.2
125 132 -0.25
125 134 -0.25
125 135 -0.25
125 136 -0.25
125 147 -0.25
125 157 -0.25
125 308 -0.25
125 310 -0.2
125 319 -0.25
125 722 -0.2
126 23 -0.2
126 124 -0.2
126 125 -0.2
126 126 2.8
126 128 -0.2
126 131 -0.5
126 143 -0.5
126 308 -0.2
126 309 -0.2
126 310 -0.2
126 720 -0.2
126 722 -0.2
127 112 -0.25
127 127 3
127 137 -0.333333
127 141 -0.333333
127 159 -0.25
127 466 -0.333333
127 563 -0.25
127 571 -0.25
127 639 -1
128 23 -0.2
128 124 -0.2
128 125 -0.2
128 126 -0.2
128 128 2.8
128 138 -1
128 308 -0.2
128 309 -0.2
128 310 -0.2
128 720 -0.2
128 722 -0.2
129 122 -0.5
129 124 -1
129 129 3
129 135 -0.5
129 139 -1
130 130 2.5
130 133 -0.333333
130 134 -1
130 666 -0.333333
130 670 -0.333333
130 691 -0.5
131 123 -0.333333
131 126 -0.5
131 131 3.16667
131 136 -0.333333
131 138 -0.5
131 143 -0.25
131 149 -0.5
131 157 -0.25
131 309 -0.25
131 320 -0.25
132 120 -1
132 125 -0.25
132 132 3.25
132 133 -1
132 134 -0.25
132 135 -0.25
132 136 -0.25
132 137 -0.25
133 11 -0.1
133 114 -0.1
133 116 -0.1
133 130 -0.333333
133 132 -1
133 133 3.5
133 445 -0.1
133 449 -0.1
133 452 -0.1
133 454 -0.1
133 463 -0.1
133 467 -0.1
133 638 -0.1
133 666 -0.333333
133 670 -0.333333
133 691 -0.5
134 121 -0.5
134 125 -0.25
134 130 -1
134 132 -0.25
134 134 3.25
134 135 -0.25
134 136 -0.25
134 137 -0.25
134 147 -0.5
135 122 -0.5
135 125 -0.25
135 129 -0.5
135 132 -0.25
135 134 -0.25
135 135 3.25
135 136 -0.25
135 137 -0.25
135 709 -0.5
135 711 -0.5
136 123 -0.333333
136 125 -0.25
136 131 -0.333333
136 132 -0.25
136 134 -0.25
136 135 -0.25
136 136 3.25
136 137 -0.25
136 143 -0.333333
136 708 -0.5
136 710 -0.5
137 17 -0.0769231
137 31 -0.25
137 127 -0.333333
137 132 -0.25
137 134 -0.25
137 135 -0.25
137 136 -0.25
137 137 3.92308
137 140 -0.0769231
137 141 -0.333333
137 147 -0.25
137 153 -0.0769231
137 154 -0.0769231
137 156 -0.25
137 317 -0.0769231
137 318 -0.0769231
137 319 -0.0769231
137 320 -0.0769231
137 321 -0.0769231
137 327 -0.0769231
137 334 -0.0769231
137 466 -0.333333
137 662 -0.0769231
137 672 -0.25
138 128 -1
138 131 -0.5
138 138 5
138 139 -1
138 140 -1
138 143 -1
138 149 -0.5
139 18 -0.2
139 20 -0.2
139 129 -1
139 138 -1
139 139 3
139 155 -0.2
139 346 -0.2
139 728 -0.2
140 17 -0.0769231
140 137 -0.0769231
140 138 -1
140 140 3
140 147 -0.0769231
140 148 -1
140 153 -0.0769231
140 154 -0.0769231
140 317 -0.0769231
140 318 -0.0769231
140 319 -0.0769231
140 320 -0.0769231
140 321 -0.0769231
140 327 -0.0769231
140 334 -0.0769231
140 662 -0.0769231
141 9 -0.0588235
141 127 -0.333333
141 137 -0.333333
141 141 3.94118
141 145 -0.5
141 146 -0.5
141 147 -0.5
141 150 -0.5
141 160 -0.0588235
141 233 -0.0588235
141 363 -0.0588235
141 364 -0.0588235
141 385 -0.0588235
141 386 -0.0588235
141 450 -0.0588235
141 456 -0.0588235
141 466 -0.333333
141 492 -0.0588235
141 521 -0.0588235
141 607 -0.0588235
141 626 -0.0588235
141 698 -0.0588235
141 747 -0.0588235
142 15 -0.333333
142 34 -0.333333
142 117 -0.333333
142 142 3
142 144 -1
142 148 -0.5
142 156 -0.5
143 123 -0.333333
143 126 -0.5
143 131 -0.25
143 136 -0.333333
143 138 -1
143 143 3.16667
143 157 -0.25
143 309 -0.25
143 320 -0.25
144 69 -1
144 142 -1
144 144 4
144 145 -0.5
144 158 -0.5
144 700 -0.5
144 707 -0.5
145 35 -0.333333
145 116 -0.333333
145 141 -0.5
145 144 -0.5
145 145 4
145 150 -0.5
145 158 -0.5
145 541 -0.333333
146 108 -0.333333
146 124 -0.25
146 141 -0.5
146 146 3
146 147 -0.5
146 152 -0.25
146 159 -0.333333
146 310 -0.25
146 321 -0.25
146 566 -0.333333
147 17 -0.0769231
147 31 -0.25
147 121 -0.5
147 125 -0.25
147 134 -0.5
147 137 -0.25
147 140 -0.0769231
147 141 -0.5
147 146 -0.5
147 147 4.84615
147 153 -0.0769231
147 154 -0.0769231
147 156 -0.25
147 157 -0.25
147 308 -0.25
147 317 -0.0769231
147 318 -0.0769231
147 319 -0.25
147 320 -0.0769231
147 321 -0.0769231
147 327 -0.0769231
147 334 -0.0769231
147 662 -0.0769231
147 672 -0.25
148 140 -1
148 142 -0.5
